country_name,metric,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
Brazil,Trips,112395.95,92882.85,105823.05,89304.85,83669.00,84860.40,88864.70,91339.05,96752.55,108812.55,112660.30,125774.12
Brazil,Gross Bookings,4523798.21,3739246.96,4280204.48,3418120.83,3176525.11,3241938.02,3369464.98,3484666.07,3472664.53,3838817.30,4056462.22,4520574.50
Brazil,NETR,577943.39,504000.45,573197.73,482094.29,456062.63,479812.67,492660.00,514997.95,503265.50,541042.92,577026.18,612382.75
Brazil,VC,464656.71,410360.80,466011.21,396496.40,376514.87,398626.82,408280.57,427733.61,416301.71,444909.80,475442.70,499176.80
Brazil,Net UFP,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,Driver Payments & Taxes,-3797449.85,-3132669.25,-3589234.14,-2876710.40,-2674206.72,-2728719.90,-2844891.05,-2968663.96,-2962973.19,-3278371.42,-3413156.52,-3884938.64
Brazil,Total Incentives,-148404.97,-102577.25,-117772.61,-59316.14,-46255.77,-33405.45,-31913.94,-1004.15,-6425.84,-19402.95,-66279.52,-23253.11
Brazil,Trip Insurance,-4911.59,-4058.89,-4624.36,-3902.54,-3656.25,-3708.32,-3883.30,-3991.43,-4227.99,-4755.00,-4923.15,-5496.21
Brazil,Support,-12038.93,-9951.05,-11390.67,-9096.45,-8453.51,-8627.59,-8966.97,-9273.55,-9241.61,-10216.03,-10795.24,-12030.35
Mexico,Trips,13449.50,16126.45,17965.20,19046.40,19201.60,19526.40,21052.80,23435.20,22812.80,25802.85,26784.00,27587.52
Mexico,Gross Bookings,529583.27,634990.01,707392.05,709727.97,716468.82,728588.07,785542.59,874437.03,800312.03,905208.09,939628.51,967817.37
Mexico,NETR,84733.32,101598.40,113182.73,113556.48,114635.01,116574.09,125686.82,139909.92,128049.92,144833.30,150340.56,154850.78
Mexico,VC,65632.07,78695.29,87668.19,87957.68,88793.08,90295.04,97353.50,108370.33,99183.90,112183.83,116449.61,119943.10
Mexico,Net UFP,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,Driver Payments & Taxes,-382534.83,-459306.13,-519260.69,-514544.16,-507247.57,-535280.15,-578801.89,-636414.70,-593035.00,-691820.10,-704060.45,-708554.73
Mexico,Total Incentives,-62315.12,-74085.49,-74948.63,-81627.34,-94586.24,-76733.83,-81053.89,-98112.40,-79227.10,-68554.70,-85227.50,-104411.86
Mexico,Trip Insurance,-4264.53,-5113.33,-5696.36,-6039.18,-6088.39,-6191.38,-6675.36,-7430.77,-7233.42,-8181.50,-8492.60,-8747.38
Mexico,Support,-5726.11,-6865.81,-7648.66,-7673.92,-7746.80,-7877.84,-8493.66,-9454.83,-8653.35,-9787.54,-10159.71,-10464.50
